,dataset_name,Bacteroides,Eubacterium,Prevotella,Faecalibacterium,Subdoligranulum,Alistipes,Ruminococcus,Parabacteroides,Roseburia,Blautia,Escherichia,Bifidobacterium,Coprococcus,Butyrivibrio,Dialister,Clostridium,Barnesiella,Lachnospiraceae_noname,Akkermansia,Dorea,Streptococcus,Megamonas,Phascolarctobacterium,Veillonella,Odoribacter,Paraprevotella,Erysipelotrichaceae_noname,Collinsella,Lactobacillus,Oscillibacter
0,Candela_Africa,0.0,15.238320000000002,29.718840000000004,11.25515,1.8387799999999999,0.0007,1.45915,0.08117,4.10987,0.38641,16.4858,0.0,2.84218,0.0,0.0,0.0,0.0,0.26211999999999996,0.0,0.3606,0.42891999999999997,0.0,2.64931,0.14772000000000002,0.0,0.0,0.23478000000000002,0.27587,0.1677,0.0141
1,Candela_Africa.1,0.0,9.41078,26.31152,14.126,2.18824,0.0,1.35866,0.12985,3.3609,0.46005,24.7914,0.0,0.66964,0.0,0.0,0.0,0.0,0.41713999999999996,0.0,0.54694,0.14911,0.0,3.64684,0.09472,0.0,0.0,0.48389,0.39064,0.0,0.02009
2,Candela_Africa.10,0.26035,17.70826,29.54236,7.41074,4.334569999999999,0.0,3.04795,0.76765,1.73691,0.14299,2.16426,0.0,0.50616,0.10538,0.0,0.0,0.0,0.0,0.0,0.46043999999999996,0.15387,0.0,17.12619,0.91915,0.04674,0.0,0.0928,0.02366,0.0,0.00628
3,Candela_Africa.11,0.50044,18.33063,15.25855,5.33487,5.71266,0.0,7.156610000000001,0.16596,1.21612,0.61558,0.38516,0.0,0.95163,0.00954,0.0,0.0,0.0,0.0,0.0,0.78405,0.21172,0.0,27.0518,0.56908,0.0,0.0,0.61641,0.02023,0.0,0.02515
4,Candela_Africa.12,0.046310000000000004,4.55213,26.424090000000003,21.99438,11.29005,0.14118,0.82986,0.8788600000000001,1.48773,6.78343,1.8035,0.0,3.7178400000000003,0.0,0.0,0.0,0.0,0.02131,0.0,1.1109799999999999,0.0,0.0,9.95825,0.0056700000000000006,0.0,0.0,4.875,1.11815,0.64918,0.035269999999999996
5,Candela_Africa.13,0.0,9.35792,10.2466,27.79283,4.9278900000000005,0.0,1.2658399999999999,0.03457,0.69689,1.48714,6.12319,0.0,0.80203,0.0,0.0,0.0,0.0,0.04841,0.0,0.94868,0.0,0.0,30.27996,0.0,0.0,0.0,1.62816,1.1335899999999999,0.0,0.0
6,Candela_Africa.14,0.0,27.373309999999996,45.32481,13.426670000000001,0.5466300000000001,0.0,0.84101,0.01786,2.77905,0.5564399999999999,0.12468,0.0,0.36161,0.0,0.0,0.0,0.0,0.06477999999999999,0.0,1.32148,0.018690000000000002,0.0,4.64102,0.009890000000000001,0.0,0.0,0.12558,0.09055,0.0,0.0
7,Candela_Africa.15,0.12082000000000001,7.7233,31.323759999999996,28.131759999999996,1.4212,0.22601,1.13038,0.14790999999999999,1.3174299999999999,0.57524,0.50834,0.0,0.58203,0.0,0.0,0.0,0.0,0.10477,0.0,1.2269299999999999,0.0,0.0,12.30282,0.12286,0.1606,0.0,0.09791,0.5108,0.0,0.02486
8,Candela_Africa.16,0.0,4.0578,3.06834,45.6509,3.91361,0.0,1.24316,0.02199,0.23751,1.28065,6.94505,0.0,0.61425,0.09283,0.0,0.0,0.0,0.0,0.0,0.49837,0.0,0.0,25.93101,0.0,0.0,0.0,0.49848000000000003,3.50409,0.0,0.060270000000000004
9,Candela_Africa.17,0.0,9.50215,7.63065,19.91497,6.2316400000000005,0.0,0.8314600000000001,0.05785,0.92594,3.48927,9.08193,0.0,1.57158,0.05195,0.0,0.0,0.0,1.00022,0.0,0.86577,0.0,0.0,30.18712,0.01849,0.0,0.0,3.4319800000000003,0.77032,0.0,0.0
10,Candela_Africa.18,0.0,2.7029400000000003,9.78298,15.478420000000002,7.7270199999999996,0.0,33.112759999999994,0.0,0.24324,0.1451,0.99379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57243,0.0,0.0,21.663729999999997,0.0,0.0,0.0,0.39949,1.6469999999999998,0.0,0.0
11,Candela_Africa.19,0.0,15.11881,15.87049,29.403309999999998,9.24726,0.0,5.21966,0.22013000000000002,1.26096,1.44685,6.6078399999999995,0.0,1.01146,0.0,0.0,0.0,0.0,0.01693,0.0,1.40676,0.0,0.0,11.09303,0.0,0.0,0.0,0.11815,1.0235299999999998,0.0,0.01226
12,Candela_Africa.2,0.0,15.807520000000002,29.18548,9.78486,1.75567,0.0,1.04376,0.0,3.93266,0.84735,19.91142,0.0,0.4433,0.0,0.0,0.0,0.0,0.36441,0.0,0.75479,0.33568000000000003,0.0,2.75082,0.0538,0.0,0.0,0.26008000000000003,0.19566,0.43138999999999994,0.0027300000000000002
